معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
1501,Asiaderm,betamethasone + clioquinol + gentamicin + tolnaftate,0.05% + 1% + 0.1% + 1%,كريم,اسيا,betamethasone 0.05%+clioquinol 1%+gentamicin 0.1%+tolnaftate 1%,cream,بيانات مكتملة
1502,Asiadilol 12.5,carvedilol,12.5mg,قرص,اسيا,carvedilol 12.5mg / tab,tab,بيانات مكتملة
1503,Asiadilol 25,carvedilol,25mg,قرص,اسيا,carvedilol 25mg / tab,tab,بيانات مكتملة
1504,Asiadilol 3.125,carvedilol,3.125mg,قرص,اسيا,carvedilol 3.125mg / tab,tab,بيانات مكتملة
1505,Asiadilol 6.25,carvedilol,6.25mg,قرص,اسيا,carvedilol 6.25mg / tab,tab,بيانات مكتملة
1506,Asiaflox 0.3%,ofloxacin,0.3%,قطرة عينية,اسيا,ofloxacin 0.3%,eye-drops,بيانات مكتملة
1507,Asiagesic,orphenadrine + paracetamol,35mg + 450mg,قرص,اسيا,orphenadrine 35mg+paracetamol 450mg / tab,tab,بيانات مكتملة
1508,Asiagynon 20,ethinyl Estradiol,0.02mg,قرص,اسيا,ethinyl Estradiol 0.02mg / tab,tab,بيانات مكتملة
1509,Asiagynon 50,ethinyl Estradiol,0.050mg,قرص,اسيا,ethinyl Estradiol 0.050mg / tab,tab,بيانات مكتملة
1510,Asialyrc 100,pregabalin,100mg,كبسولة,اسيا,pregabalin 100mg / cap,cap,بيانات مكتملة
1511,Asialyrc 150,pregabalin,150mg,كبسولة,اسيا,pregabalin 150mg / cap,cap,بيانات مكتملة
1512,Asialyrc 200,pregabalin,200mg,كبسولة,اسيا,pregabalin 200mg / cap,cap,بيانات مكتملة
1513,Asialyrc 50,pregabalin,50mg,كبسولة,اسيا,pregabalin 50mg / cap,cap,بيانات مكتملة
1514,Asialyrc 75,pregabalin,75mg,كبسولة,اسيا,pregabalin 75mg / cap,cap,بيانات مكتملة
1515,Asialyrc Plus,alpha Lipoic Acid + mecobalamin + pregabalin,150mg + 0.75mg + 75mg,كبسولة,اسيا,alpha Lipoic Acid 150mg+mecobalamin 0.75mg+pregabalin 75mg / cap,cap,بيانات مكتملة
1516,Asiamigrain,caffeine + ergotamine,100mg + 1mg,قرص مغلف,اسيا,caffeine 100mg+ergotamine 1mg / c-tab,coated-tab,بيانات مكتملة
