معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
6001,Glimeraz 1,glimepiride,1mg,قرص,رازي,glimepiride 1mg / tab,tab,بيانات مكتملة
6002,Glimeraz 2,glimepiride,2mg,قرص,رازي,glimepiride 2mg / tab,tab,بيانات مكتملة
6003,Glimeraz 4,glimepiride,4mg,قرص,رازي,glimepiride 4mg / tab,tab,بيانات مكتملة
6004,Graniraz 1,granisetron,1mg,أمبولة,رازي,granisetron 1mg / amp,amp,بيانات مكتملة
6005,Green AX,,,ظرف,رازي,,sachet,التركيب غير موجود في APK
6006,Heptadine 2,cyproheptadine,2mg,شراب,رازي,cyproheptadine 2mg / 5ml,syrup,بيانات مكتملة
6007,Heptadine 4,cyproheptadine,4mg,قرص,رازي,cyproheptadine 4mg / tab,tab,بيانات مكتملة
6008,Heptiraz 10,adefovir,10mg,قرص,رازي,adefovir 10mg / tab,tab,بيانات مكتملة
6009,Hydrocip,ciprofloxacin + hydrocortisone 10mg / ml,2mg + ,قطرة أذنية,رازي,ciprofloxacin 2mg+hydrocortisone 10mg / ml,ear-drops,بيانات مكتملة
6010,Icaris 300,epimedium,300mg,كبسولة,رازي,epimedium 300mg / cap,cap,بيانات مكتملة
6011,Icaris Fort 450,epimedium,450mg,كبسولة,رازي,epimedium 450mg / cap,cap,بيانات مكتملة
6012,Indocine 100,indomethacin,100mg,تحاميل,رازي,indomethacin 100mg / supp,supp,بيانات مكتملة
6013,Indocine 25,indomethacin,25mg,معلق,رازي,indomethacin 25mg / 5ml,susp,بيانات مكتملة
6014,Isoraze 10,isosorbide Dinitrate,10mg,قرص,رازي,isosorbide Dinitrate 10mg / tab,tab,بيانات مكتملة
6015,Isoraze SR 20,isosorbide Dinitrate 20mg / SR-cap,,SR-cap,رازي,isosorbide Dinitrate 20mg / SR-cap,SR-cap,بيانات مكتملة
6016,Isoraze SR 40,isosorbide Dinitrate 40mg / SR-cap,,SR-cap,رازي,isosorbide Dinitrate 40mg / SR-cap,SR-cap,بيانات مكتملة
6017,Isoraze SR 80,isosorbide Dinitrate 80mg / SR-cap,,SR-cap,رازي,isosorbide Dinitrate 80mg / SR-cap,SR-cap,بيانات مكتملة
6018,Lamaxidil 2%,minoxidil,2%,شامبو,رازي,minoxidil 2%,shampoo,بيانات مكتملة
6019,Lamaxidil 5%,minoxidil,5%,محلول,رازي,minoxidil 5%,solu,بيانات مكتملة
6020,Lamazoral 2%,ketoconazole,2%,كريم,رازي,ketoconazole 2%,cream,بيانات مكتملة
6021,Laxitose 3.325,lactulose,3325mg,شراب,رازي,lactulose 3325mg / 5ml,syrup,بيانات مكتملة
6022,Life Water Purified,purified Water,,pl-bottle,رازي,purified Water,pl-bottle,بيانات مكتملة
6023,Lincoraz 300,lincomycin,300mg,أمبولة,رازي,lincomycin 300mg / amp,amp,بيانات مكتملة
6024,Lincoraz 600,lincomycin,600mg,أمبولة,رازي,lincomycin 600mg / amp,amp,بيانات مكتملة
6025,Lioraz 10,baclofen,10mg,قرص,رازي,baclofen 10mg / tab,tab,بيانات مكتملة
6026,Lioraz 25,baclofen,25mg,قرص,رازي,baclofen 25mg / tab,tab,بيانات مكتملة
6027,Locazon 0.1%,mometasone,0.1%,كريم,رازي,mometasone 0.1%,cream,بيانات مكتملة
6028,Lortin 10,loratadine,10mg,قرص,رازي,loratadine 10mg / tab,tab,بيانات مكتملة
6029,Lortin 5,loratadine,5mg,شراب,رازي,loratadine 5mg / 5ml,syrup,بيانات مكتملة
6030,Lukamonte 10,montelukast,10mg,قرص مغلف,رازي,montelukast 10mg / c-tab,coated-tab,بيانات مكتملة
