معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
9001,Simidrop,simethicone 40mg / ml,,قطرات فموية,كيمي,simethicone 40mg / ml,oral-drops,بيانات مكتملة
9002,Siracton 100,spironolactone,100mg,قرص مغلف,كيمي,spironolactone 100mg / c-tab,coated-tab,بيانات مكتملة
9003,Siracton 25,spironolactone,25mg,قرص مغلف,كيمي,spironolactone 25mg / c-tab,coated-tab,بيانات مكتملة
9004,Siracton 50,spironolactone,50mg,قرص مغلف,كيمي,spironolactone 50mg / c-tab,coated-tab,بيانات مكتملة
9005,Sotalol 240,sotalol,240mg,قرص مغلف,كيمي,sotalol 240mg / c-tab,coated-tab,بيانات مكتملة
9006,Spasmine 40,alverine,40mg,قرص,كيمي,alverine 40mg / tab,tab,بيانات مكتملة
9007,Spasmine 80,alverine,80mg,تحاميل,كيمي,alverine 80mg / supp,supp,بيانات مكتملة
9008,Spasmogesic,orphenadrine + paracetamol,35mg + 450mg,قرص مغلف,كيمي,orphenadrine 35mg+paracetamol 450mg / tab,coated-tab,بيانات مكتملة
9009,Spirakalm,metronidazole + spiramycin,125mg + 750000i.u.,قرص مغلف,كيمي,metronidazole 125mg+spiramycin 750000i.u. / c-tab,coated-tab,بيانات مكتملة
9010,Spirakalm Fort,metronidazole + spiramycin,250mg + 1500000i.u.,قرص مغلف,كيمي,metronidazole 250mg+spiramycin 1500000i.u. / c-tab,coated-tab,بيانات مكتملة
9011,Sulpiride 50,sulpiride,50mg,كبسولة,كيمي,sulpiride 50mg / cap,cap,بيانات مكتملة
9012,Tenoxicam 20,tenoxicam,20mg,قرص مغلف,كيمي,tenoxicam 20mg / c-tab,coated-tab,بيانات مكتملة
9013,Tofrel 10,imipramine,10mg,قرص,كيمي,imipramine 10mg / tab,tab,بيانات مكتملة
9014,Tofrel 25,imipramine,25mg,قرص,كيمي,imipramine 25mg / tab,tab,بيانات مكتملة
9015,Tusolvan 8,bromhexine,8mg,قرص,كيمي,bromhexine 8mg / tab,tab,بيانات مكتملة
9016,Vasotine 5,vinpocetine,5mg,قرص,كيمي,vinpocetine 5mg / tab,tab,بيانات مكتملة
9017,Vigahelp 100,sildenafil,100mg,قرص مغلف,كيمي,sildenafil 100mg / c-tab,coated-tab,بيانات مكتملة
9018,Vigahelp 50,sildenafil,50mg,قرص مغلف,كيمي,sildenafil 50mg / c-tab,coated-tab,بيانات مكتملة
9019,Capecitabin 500mg,cabecitapin 500mg / tan,,قرص,كيور,cabecitapin 500mg / tan,tab,بيانات مكتملة
9020,Carboplatin 150,carboplatin,150mg,فيال,كيور,carboplatin 150mg / vial,vial,بيانات مكتملة
9021,Carboplatin 450,carboplatin,450mg,فيال,كيور,carboplatin 450mg / vial,vial,بيانات مكتملة
9022,Zoledronic Acid 4,zoledronic Acid,4mg,فيال,كيور,zoledronic Acid 4mg / 5ml,vial,بيانات مكتملة
9023,Axacef 125,cefuroxime,125mg,dry-syrup,لاما,cefuroxime 125mg / 5ml,dry-syrup,بيانات مكتملة
9024,Axacef 1500,cefuroxime 1500mg / dry-vial,,فيال,لاما,cefuroxime 1500mg / dry-vial,vial,بيانات مكتملة
9025,Axacef 250,cefuroxime,250mg,قرص مغلف,لاما,cefuroxime 250mg / c-tab,coated-tab,بيانات مكتملة
9026,Axacef 500,cefuroxime,500mg,قرص مغلف,لاما,cefuroxime 500mg / c-tab,coated-tab,بيانات مكتملة
9027,Axacef 750,cefuroxime 750mg / dry-vial,,فيال,لاما,cefuroxime 750mg / dry-vial,vial,بيانات مكتملة
9028,Biogain,,,شامبو,لاما,,shampoo,التركيب غير موجود في APK
9029,Cefexime 100,cefexime 100mg / chew-tab,,قرص للمضغ,لاما,cefexime 100mg / chew-tab,chew-tab,بيانات مكتملة
9030,Cefexime 150,cefexime 150mg / chew-tab,,قرص للمضغ,لاما,cefexime 150mg / chew-tab,chew-tab,بيانات مكتملة
9031,Cefexime 200,cefexime,200mg,كبسولة,لاما,cefexime 200mg / cap,cap,بيانات مكتملة
9032,Cefexime 400,cefexime,400mg,كبسولة,لاما,cefexime 400mg / cap,cap,بيانات مكتملة
9033,Clamatax 1000,cefotaxime 1000mg / dry-vial,,فيال,لاما,cefotaxime 1000mg / dry-vial,vial,بيانات مكتملة
9034,Clamatax 500,cefotaxime 500mg / dry-vial,,فيال,لاما,cefotaxime 500mg / dry-vial,vial,بيانات مكتملة
9035,Lamidim 1000,ceftazidime 1000mg / dry-vial,,فيال,لاما,ceftazidime 1000mg / dry-vial,vial,بيانات مكتملة
9036,Lamidim 500,ceftazidime 500mg / dry-vial,,فيال,لاما,ceftazidime 500mg / dry-vial,vial,بيانات مكتملة
9037,Laxipim 1000,cefepime 1000mg / dry-vial,,فيال,لاما,cefepime 1000mg / dry-vial,vial,بيانات مكتملة
9038,Laxipim 500,cefepime 500mg / dry-vial,,فيال,لاما,cefepime 500mg / dry-vial,vial,بيانات مكتملة
9039,Onodinir 125,cefdinir,125mg,dry-syrup,لاما,cefdinir 125mg / 5ml,dry-syrup,بيانات مكتملة
9040,Onodinir 250,cefdinir,250mg,dry-syrup,لاما,cefdinir 250mg / 5ml,dry-syrup,بيانات مكتملة
9041,Onodinir 300,cefdinir,300mg,كبسولة,لاما,cefdinir 300mg / cap,cap,بيانات مكتملة
9042,Rocilain 1000,ceftriaxone 1000mg / dry-vial,,كبسولة,لاما,ceftriaxone 1000mg / dry-vial,cap,بيانات مكتملة
9043,Rocilain 250,ceftriaxone 250mg / dry-vial,,فيال,لاما,ceftriaxone 250mg / dry-vial,vial,بيانات مكتملة
9044,Rocilain 500,ceftriaxone 500mg / dry-vial,,فيال,لاما,ceftriaxone 500mg / dry-vial,vial,بيانات مكتملة
9045,Rocilain Plus 1500,ceftriaxone + sulbactam 500mg / dry-vial,1000mg + ,فيال,لاما,ceftriaxone 1000mg+sulbactam 500mg / dry-vial,vial,بيانات مكتملة
9046,Rocilain Plus 750,ceftriaxone + sulbactam 250mg / dry-vial,500mg + ,فيال,لاما,ceftriaxone 500mg+sulbactam 250mg / dry-vial,vial,بيانات مكتملة
9047,Zonasul 1000,cefoperazone + salbactam 500mg / dry-vial,500mg + ,فيال,لاما,cefoperazone 500mg+salbactam 500mg / dry-vial,vial,بيانات مكتملة
9048,Zonasul 2000,cefoperazone + salbactam 1000mg / dry-vial,1000mg + ,فيال,لاما,cefoperazone 1000mg+salbactam 1000mg / dry-vial,vial,بيانات مكتملة
9049,ACEvasc 10/20,amlodipine + benazepril,10mg + 20mg,كبسولة,ليم,amlodipine 10mg+benazepril 20mg / cap,cap,بيانات مكتملة
9050,ACEvasc 2.5/10,amlodipine + benazepril,2.5mg + 10mg,كبسولة,ليم,amlodipine 2.5mg+benazepril 10mg / cap,cap,بيانات مكتملة
9051,ACEvasc 5/10,amlodipine + benazepril,5mg + 10mg,كبسولة,ليم,amlodipine 5mg+benazepril 10mg / cap,cap,بيانات مكتملة
9052,ACEvasc 5/20,amlodipine + benazepril,5mg + 20mg,كبسولة,ليم,amlodipine 5mg+benazepril 20mg / cap,cap,بيانات مكتملة
9053,Albi Stop,nystatin,"100,000i.u.",معلق,ليم,"nystatin 100,000i.u. / 5ml",susp,بيانات مكتملة
9054,Ampoxid 12.5/5,amitriptyline + chlordiazepoxide,25mg + 10mg,قرص مغلف,ليم,amitriptyline 25mg+chlordiazepoxide 10mg / c-tab,coated-tab,بيانات مكتملة
9055,Ampoxid 25/10,amitriptyline + chlordiazepoxide,25mg + 10mg,قرص مغلف,ليم,amitriptyline 25mg+chlordiazepoxide 10mg / c-tab,coated-tab,بيانات مكتملة
9056,Apple Cider Vinger,خل التفاح البلسمي,,كبسولة,ليم,خل التفاح البلسمي,cap,بيانات مكتملة
9057,Azolem 20/5,amlodipine + olmesartan,5mg + 20mg,قرص مغلف,ليم,amlodipine 5mg+olmesartan 20mg / c-tab,coated-tab,بيانات مكتملة
9058,Azolem Plus 40/5/25,amlodipine + H.C.T.Z. ( Hydro Chlor Thia Zide ) + olmesartan,5mg + 25mg + 40mg,قرص مغلف,ليم,amlodipine 5mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 25mg+olmesartan 40mg / c-tab,coated-tab,بيانات مكتملة
9059,Barakah Seed,حبة البركة,,كبسولة,ليم,حبة البركة,cap,بيانات مكتملة
9060,BLight,قشور البسيليوم,,كبسولة,ليم,قشور البسيليوم,cap,بيانات مكتملة
9061,Bpollen,amino Acids + fructose + lenilinic Acid + vit B + ascorbic Acid, +  +  +  + ,كبسولة,ليم,amino Acids +fructose +lenilinic Acid +vit B + ascorbic Acid / cap,cap,بيانات مكتملة
9062,Brain,جينكوبيلوبا,,كبسولة,ليم,جينكوبيلوبا,cap,بيانات مكتملة
9063,Brain Plus,جينكوبيلوبا + شاي اخضر + جنسينغ, +  + ,كبسولة,ليم,جينكوبيلوبا +شاي اخضر +جنسينغ,cap,بيانات مكتملة
9064,Broncofen,guaifenesin + salbutamol,50mg + 1mg,شراب,ليم,guaifenesin 50mg+salbutamol 1mg / 5ml,syrup,بيانات مكتملة
9065,Celeco Lem 200,celecoxib,200mg,كبسولة,ليم,celecoxib 200mg / cap,cap,بيانات مكتملة
9066,Celeco Lem 400,celecoxib,400mg,كبسولة,ليم,celecoxib 400mg / cap,cap,بيانات مكتملة
9067,Ceta Clon,diclofenac Sodium + paracetamol,50mg + 500mg,قرص مغلف,ليم,diclofenac Sodium 50mg+paracetamol 500mg / c-tab,coated-tab,بيانات مكتملة
9068,Coli Lem,كراوية,,كبسولة,ليم,كراوية,cap,بيانات مكتملة
9069,Dolonate,قشور الصفصاف 125ملغ + جذور الفاليريان 125ملغ + ثمار الفلفل الأحمر 100ملغ / كبسولة, +  + ,كبسولة,ليم,قشور الصفصاف 125ملغ+جذور الفاليريان 125ملغ+ثمار الفلفل الأحمر 100ملغ / كبسولة,cap,بيانات مكتملة
9070,Epipron 500,sod.Valproate,500mg,قرص مغلف,ليم,sod.Valproate 500mg / c-tab,coated-tab,بيانات مكتملة
9071,Fenu 575,حلبة 525 ملغ - تحفيز إفراز الحليب - خافضة للسكر بعد الوجبات,,كبسولة,ليم,حلبة 525 ملغ - تحفيز إفراز الحليب - خافضة للسكر بعد الوجبات,cap,بيانات مكتملة
9072,Ferti Seal,selenium + vit E,0.2mg + 30i.u.,قرص مغلف,ليم,selenium 0.2mg+vit E 30i.u. / cap,coated-tab,بيانات مكتملة
