معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
3001,Almaginko,ginkgobiloba,80mg,قرص مغلف,الما,ginkgobiloba 80mg / c-tab,coated-tab,بيانات مكتملة
3002,Almaid 25,doxylamine,25mg,قرص,الما,doxylamine 25mg / tab,tab,بيانات مكتملة
3003,Almanta,aluminium Hydroxide + magnesium Hydroxide + simethicone,200mg + 200mg + 20mg,معلق,الما,aluminium Hydroxide 200mg+magnesium Hydroxide 200mg+simethicone 20mg / 5ml,susp,بيانات مكتملة
3004,Almapiridol 350,carisoprodol,350mg,قرص,الما,carisoprodol 350mg / tab,tab,بيانات مكتملة
3005,Almaprazol 20,esomeprazole,20mg,كبسولة,الما,esomeprazole 20mg / cap,cap,بيانات مكتملة
3006,Almaprazol 40,esomeprazole,40mg,كبسولة,الما,esomeprazole 40mg / cap,cap,بيانات مكتملة
3007,Almapril 10,fosinopril,10mg,قرص,الما,fosinopril 10mg / tab,tab,بيانات مكتملة
3008,Almapril 20,fosinopril,20mg,قرص,الما,fosinopril 20mg / tab,tab,بيانات مكتملة
3009,Almapril 40,fosinopril,40mg,قرص,الما,fosinopril 40mg / tab,tab,بيانات مكتملة
3010,Almapril D 10,fosinopril + H.C.T.Z. ( Hydro Chlor Thia Zide ),10mg + 12.5mg,قرص,الما,fosinopril 10mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg / tab,tab,بيانات مكتملة
3011,Almapril D 20,fosinopril + H.C.T.Z. ( Hydro Chlor Thia Zide ),20mg + 12.5mg,قرص,الما,fosinopril 20mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg / tab,tab,بيانات مكتملة
3012,Almastan D 150,H.C.T.Z. ( Hydro Chlor Thia Zide ) + irbesartan,12.5mg + 150mg,قرص,الما,H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg+irbesartan 150mg / tab,tab,بيانات مكتملة
3013,Almastan D 300,H.C.T.Z. ( Hydro Chlor Thia Zide ) + irbesartan,12.5mg + 300mg,قرص,الما,H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg+irbesartan 300mg / tab,tab,بيانات مكتملة
3014,Almastatin 20,fluvastatin,20mg,كبسولة,الما,fluvastatin 20mg / cap,cap,بيانات مكتملة
3015,Almastatin 40,fluvastatin,40mg,كبسولة,الما,fluvastatin 40mg / cap,cap,بيانات مكتملة
3016,Almatamol 1/50,guaifenesin + salbutamol,50mg + 1mg,شراب,الما,guaifenesin 50mg+salbutamol 1mg / 5ml,syrup,بيانات مكتملة
3017,Almatamol 2/100,guaifenesin + salbutamol,100mg + 2mg,كبسولة,الما,guaifenesin 100mg+salbutamol 2mg / tab,cap,بيانات مكتملة
3018,Almavit C,ascorbic Acid,500mg,كبسولة,الما,ascorbic Acid 500mg / cap,cap,بيانات مكتملة
3019,Almavit CPlus,ascorbic Acid + zinc,500mg + 50mg,كبسولة,الما,ascorbic Acid 500mg+zinc 50mg / cap,cap,بيانات مكتملة
3020,Almavit D3 1000,vit D3 ( cholecalciferol ),"1,000i.u.",كبسولة,الما,"vit D3 ( cholecalciferol ) 1,000i.u. / cap",cap,بيانات مكتملة
3021,Almavit D3 10000,vit D3 ( cholecalciferol ),"10,000i.u.",كبسولة,الما,"vit D3 ( cholecalciferol ) 10,000i.u. / cap",cap,بيانات مكتملة
3022,Almavit D3 5000,vit D3 ( cholecalciferol ),"5,000i.u.",كبسولة,الما,"vit D3 ( cholecalciferol ) 5,000i.u. / cap",cap,بيانات مكتملة
3023,Almaxine 500,methocarbamol,500mg,قرص مغلف,الما,methocarbamol 500mg / c-tab,coated-tab,بيانات مكتملة
