معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
4501,Betamol 200,paracetamol,200mg,معلق,بيتا,paracetamol 200mg / 5ml,susp,بيانات مكتملة
4502,Beta Prost 0.4,tamsolusin,0.4mg,كبسولة,بيتا,tamsolusin 0.4mg / tab,cap,بيانات مكتملة
4503,Beta Pruf 100,ibuprofen,100mg,شراب,بيتا,ibuprofen 100mg / 5ml,syrup,بيانات مكتملة
4504,Beta Pruf 200,ibuprofen,200mg,شراب,بيتا,ibuprofen 200mg / 5ml,syrup,بيانات مكتملة
4505,Beta Pruf 400,ibuprofen,400mg,قرص,بيتا,ibuprofen 400mg / tab,tab,بيانات مكتملة
4506,Beta Pruf 600,ibuprofen,600mg,قرص,بيتا,ibuprofen 600mg / tab,tab,بيانات مكتملة
4507,Brufimol,ibuprofen + paracetamol,100mg + 125mg,شراب,بيتا,ibuprofen 100mg+paracetamol 125mg / 5ml,syrup,بيانات مكتملة
4508,Carbi 200,ox Carbamazepin,200mg,قرص,بيتا,ox Carbamazepin 200mg / tab,tab,بيانات مكتملة
4509,Carbi 400,ox Carbamazepin,400mg,قرص,بيتا,ox Carbamazepin 400mg / tab,tab,بيانات مكتملة
4510,Celecob 200,celecoxibe,200mg,كبسولة,بيتا,celecoxibe 200mg / cap,cap,بيانات مكتملة
4511,Ciprocort,ciprofloxacin + hydrocortisone,0.2% + 1%,قطرة أذنية,بيتا,ciprofloxacin 0.2%+hydrocortisone 1%,ear-drops,بيانات مكتملة
4512,Colo Free 50,sulpride,50mg,قرص,بيتا,sulpride 50mg / cap,tab,بيانات مكتملة
4513,Dal2 300.000,ergocalciferol 300.000i.u. / oral-amp,,oral-amp,بيتا,ergocalciferol 300.000i.u. / oral-amp,oral-amp,بيانات مكتملة
4514,Dal2 600.000,ergocalciferol 600.000i.u. / oral-amp,,oral-amp,بيتا,ergocalciferol 600.000i.u. / oral-amp,oral-amp,بيانات مكتملة
4515,Dexa Beta,dexamethasone,0.5mg,شراب,بيتا,dexamethasone 0.5mg / 5ml,syrup,بيانات مكتملة
4516,Gabo 100,pregabalin,100mg,كبسولة,بيتا,pregabalin 100mg / cap,cap,بيانات مكتملة
4517,Gabo 150,pregabalin,150mg,كبسولة,بيتا,pregabalin 150mg / cap,cap,بيانات مكتملة
4518,Gabo 50,pregabalin,50mg,كبسولة,بيتا,pregabalin 50mg / cap,cap,بيانات مكتملة
4519,Gabo 75,pregabalin,75mg,كبسولة,بيتا,pregabalin 75mg / cap,cap,بيانات مكتملة
4520,Gyno Beta,,,بويضة مهبلية,بيتا,,ovule,التركيب غير موجود في APK
4521,Hyoscine Plus,hyoscine + paracetamol,10mg + 500mg,كبسولة,بيتا,hyoscine 10mg+paracetamol 500mg / c-tab,cap,بيانات مكتملة
4522,Metrobeta 200,metronidazole,200mg,معلق,بيتا,metronidazole 200mg / 5ml,susp,بيانات مكتملة
4523,Metrobeta 500,metronidazole,500mg,قرص,بيتا,metronidazole 500mg / tab,tab,بيانات مكتملة
4524,Muco Off,carbocysteine,375mg,كبسولة,بيتا,carbocysteine 375mg / cap,cap,بيانات مكتملة
4525,Nisu Plus,nimesulide + paracetamol,100mg + 325mg,قرص,بيتا,nimesulide 100mg+paracetamol 325mg / tab,tab,بيانات مكتملة
4526,Nysta Beta 100000,nystatin,"100,000i.u.",معلق,بيتا,"nystatin 100,000i.u. / 5ml",susp,بيانات مكتملة
4527,OClav 1000,amoxicillin + clavulanic Acid,875mg + 125mg,قرص مغلف,بيتا,amoxicillin 875mg+clavulanic Acid 125mg / c-tab,coated-tab,بيانات مكتملة
4528,OClav 457,amoxicillin + clavulanic Acid,400mg + 57mg,dry-syrup,بيتا,amoxicillin 400mg+clavulanic Acid 57mg / 5ml,dry-syrup,بيانات مكتملة
4529,OClav 625,amoxicillin + clavulanic Acid,500mg + 125mg,قرص مغلف,بيتا,amoxicillin 500mg+clavulanic Acid 125mg / c-tab,coated-tab,بيانات مكتملة
