معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
7001,Cloxacillin 500,cloxacillin,500mg,فيال جاف,سعد,cloxacillin 500mg / vial,dry-vial,بيانات مكتملة
7002,Compo Neb,ipratropium + salbutamol 3mg / flexible-amp,0.5mg + ,flexible-amp,سعد,ipratropium 0.5mg+salbutamol 3mg / flexible-amp,flexible-amp,بيانات مكتملة
7003,Conipan 5,ivabradine,5mg,قرص مغلف,سعد,ivabradine 5mg / c-tab,coated-tab,بيانات مكتملة
7004,Conipan 7.5,ivabradine,7.5mg,قرص مغلف,سعد,ivabradine 7.5mg / c-tab,coated-tab,بيانات مكتملة
7005,Co Ramipril 2.5/12.5,H.C.T.Z. ( Hydro Chlor Thia Zide ) + ramipril,12.5mg + 2.5mg,كبسولة,سعد,H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg+ramipril 2.5mg / tab,cap,بيانات مكتملة
7006,Dapaxine 10,dapagliflozin,10mg,قرص مغلف,سعد,dapagliflozin 10mg / c-tab,coated-tab,بيانات مكتملة
7007,Dapaxine 5,dapagliflozin,5mg,قرص مغلف,سعد,dapagliflozin 5mg / c-tab,coated-tab,بيانات مكتملة
7008,De Flam 0.15%,benzydamine HCl,0.15%,غرغرة,سعد,benzydamine HCl 0.15%,gargle,بيانات مكتملة
7009,De Histamine 10,loratadine,10mg,قرص,سعد,loratadine 10mg / tab,tab,بيانات مكتملة
7010,De Histamine 5,loratadine,5mg,شراب,سعد,loratadine 5mg / 5ml,syrup,بيانات مكتملة
7011,De Pain 2,tizanidine,2mg,قرص,سعد,tizanidine 2mg / tab,tab,بيانات مكتملة
7012,De Pain 4,tizanidine,4mg,قرص,سعد,tizanidine 4mg / tab,tab,بيانات مكتملة
7013,Deprico 150,trazodone,150mg,قرص,سعد,trazodone 150mg / tab,tab,بيانات مكتملة
7014,Deprico 50,trazodone,50mg,قرص,سعد,trazodone 50mg / tab,tab,بيانات مكتملة
7015,De Spasm 135,mebeverine,135mg,قرص مغلف,سعد,mebeverine 135mg / c-tab,coated-tab,بيانات مكتملة
7016,Detrotac 1,tolterodine,1mg,قرص مغلف,سعد,tolterodine 1mg / c-tab,coated-tab,بيانات مكتملة
7017,Detrotac 2,tolterodine,2mg,قرص مغلف,سعد,tolterodine 2mg / c-tab,coated-tab,بيانات مكتملة
7018,Devomit 32,ondansetron,32mg,فيال,سعد,ondansetron 32mg / vial,vial,بيانات مكتملة
7019,Devomit 4,ondansetron,4mg,أمبولة,سعد,ondansetron 4mg / amp,amp,بيانات مكتملة
7020,Devomit 40,ondansetron,40mg,فيال,سعد,ondansetron 40mg / vial,vial,بيانات مكتملة
7021,Devomit 8,ondansetron,8mg,أمبولة,سعد,ondansetron 8mg / amp,amp,بيانات مكتملة
7022,Dexarelief 8,dexamethasone,8mg,أمبولة,سعد,dexamethasone 8mg / amp,amp,بيانات مكتملة
7023,Diclofenac 1.16%,diclofenac Diethyl Ammonium,1.16%,جل,سعد,diclofenac Diethyl Ammonium 1.16%,gel,بيانات مكتملة
7024,Diclofenac K 50,diclofenac Potassium,50mg,قرص مغلف,سعد,diclofenac Potassium 50mg / c-tab,coated-tab,بيانات مكتملة
7025,Diclofenac XR 100,diclofenac Sodium,100mg,XR-tab,سعد,diclofenac Sodium 100mg / c-tab,XR-tab,بيانات مكتملة
