معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
1001,Sena Roshed,sennosides,17.2mg,قرص,ابن رشد,sennosides 17.2mg / tab,tab,بيانات مكتملة
1002,Sena Roshed Extra 25,sennosides,25mg,قرص,ابن رشد,sennosides 25mg / tab,tab,بيانات مكتملة
1003,Simeticone,simethicone 125mg / chew-tab,,قرص للمضغ,ابن رشد,simethicone 125mg / chew-tab,chew-tab,بيانات مكتملة
1004,Spirafast,metronidazole + spiramycin,250mg + 1500000i.u,قرص مغلف,ابن رشد,metronidazole 250mg+spiramycin 1500000i.u / c-tab,coated-tab,بيانات مكتملة
1005,Stogn Forte,خلاصات نباتية,,قرص,ابن رشد,خلاصات نباتية,tab,بيانات مكتملة
1006,Stomarax,chlordiazepoxide + clidinium Bromide,5mg + 2.5mg,كبسولة,ابن رشد,chlordiazepoxide 5mg+clidinium Bromide 2.5mg / cap,cap,بيانات مكتملة
1007,Sulfsel 0.025,selenium Sulfide,0.025mg,محلول,ابن رشد,selenium Sulfide 0.025mg / 5ml,solu,بيانات مكتملة
1008,Tabloxib 120,etoricoxib,120mg,كبسولة,ابن رشد,etoricoxib 120mg / cap,cap,بيانات مكتملة
1009,Tabloxib 60,etoricoxib,60mg,كبسولة,ابن رشد,etoricoxib 60mg / cap,cap,بيانات مكتملة
1010,Tabloxib 90,etoricoxib,90mg,كبسولة,ابن رشد,etoricoxib 90mg / cap,cap,بيانات مكتملة
1011,Tamrest 0.4,tamsulosin,0.4mg,كبسولة,ابن رشد,tamsulosin 0.4mg / cap,cap,بيانات مكتملة
1012,Tecno Max 10,vardenafil,10mg,قرص مغلف,ابن رشد,vardenafil 10mg / c-tab,coated-tab,بيانات مكتملة
1013,Tecno Max 20,vardenafil,20mg,قرص مغلف,ابن رشد,vardenafil 20mg / c-tab,coated-tab,بيانات مكتملة
1014,Tinocam 20,tenoxicam,20mg,تحاميل,ابن رشد,tenoxicam 20mg / supp,supp,بيانات مكتملة
1015,Tioconazole 100,tioconazole 100mg / ovule,,بويضة مهبلية,ابن رشد,tioconazole 100mg / ovule,ovule,بيانات مكتملة
1016,Tioconazole 300,tioconazole 300mg / ovule,,بويضة مهبلية,ابن رشد,tioconazole 300mg / ovule,ovule,بيانات مكتملة
1017,Tramadol 100,tramadol,100mg,تحاميل,ابن رشد,tramadol 100mg / supp,supp,بيانات مكتملة
1018,Tramadol 50,tramadol,50mg,قرص مغلف,ابن رشد,tramadol 50mg / c-tab,coated-tab,بيانات مكتملة
1019,Tretinoin 0.05%,tretinoin,0.05%,محلول,ابن رشد,tretinoin 0.05%,solu,بيانات مكتملة
1020,Tussifour,bromhexine + guaifenesin + menthol + terbutalin,4mg + 50mg + 2.5mg + 1.25mg,شراب,ابن رشد,bromhexine 4mg+guaifenesin 50mg+menthol 2.5mg+terbutalin 1.25mg / 5ml,syrup,بيانات مكتملة
1021,Ubegron 25,mirabegron,25mg,قرص مغلف,ابن رشد,mirabegron 25mg / c-tab,coated-tab,بيانات مكتملة
1022,Ubegron Fort 50,mirabegron,50mg,قرص مغلف,ابن رشد,mirabegron 50mg / c-tab,coated-tab,بيانات مكتملة
1023,Varnex 0.5,varenicline,0.5mg,قرص مغلف,ابن رشد,varenicline 0.5mg / c-tab,coated-tab,بيانات مكتملة
1024,Varnex 1,varenicline,1mg,قرص مغلف,ابن رشد,varenicline 1mg / c-tab,coated-tab,بيانات مكتملة
1025,Vinegar,acetic Acid + sorbic Acid,1.25% + 0.125%,vag-douch,ابن رشد,acetic Acid 1.25%+sorbic Acid 0.125%,vag-douch,بيانات مكتملة
1026,Vitaltab,acetyl Salicylic Acid + caffeine + paracetamol,250mg + 65mg + 250mg,قرص مغلف,ابن رشد,acetyl Salicylic Acid 250mg+caffeine 65mg+paracetamol 250mg / c-tab,coated-tab,بيانات مكتملة
1027,Vitamin C 1000,ascorbic Acid 1000mg / eff-tab,,قرص فوار,ابن رشد,ascorbic Acid 1000mg / eff-tab,eff-tab,بيانات مكتملة
1028,Vitamin Fort,calcium + dexpanthenol + vit A + thiamine + vit B2 + vit B6 + vit PP + vit D3,50mg + 2mg + 1200i.u. + 1mg + 1mg + 0.5mg + 5mg + 100i.u.,شراب,ابن رشد,calcium 50mg+dexpanthenol 2mg+vit A 1200i.u.+thiamine 1mg+vit B2 1mg+vit B6 0.5mg+vit PP 5mg+vit D3 100i.u. / 5ml,syrup,بيانات مكتملة
1029,Vitatrust,thiamine + vit B6 + vit B12,100mg + 100mg + 1mg,قرص مغلف,ابن رشد,thiamine 100mg+vit B6 100mg+vit B12 1mg / tab,coated-tab,بيانات مكتملة
1030,Vitatrust Plus,thiamine + vit B6 + vit B12,100mg + 100mg + 5mg,قرص مغلف,ابن رشد,thiamine 100mg+vit B6 100mg+vit B12 5mg / tab,coated-tab,بيانات مكتملة
1031,Vladizol 500,secnidazole,500mg,قرص مغلف,ابن رشد,secnidazole 500mg / tab,coated-tab,بيانات مكتملة
1032,Vomi Less 16,ondansetron,16mg,تحاميل,ابن رشد,ondansetron 16mg / supp,supp,بيانات مكتملة
1033,Vomi Less 4,ondansetron,4mg,قرص مغلف,ابن رشد,ondansetron 4mg / c-tab,coated-tab,بيانات مكتملة
1034,Vomi Less 8,ondansetron,8mg,قرص مغلف,ابن رشد,ondansetron 8mg / c-tab,coated-tab,بيانات مكتملة
1035,Zenaldine Apple,chlor Hexidine + sodiumfluoride + zinc Chloride,0.2% + 0.05% + 0.09%,mouth-wash,ابن رشد,chlor Hexidine 0.2%+sodiumfluoride 0.05%+zinc Chloride 0.09%,mouth-wash,بيانات مكتملة
1036,Zenaldine Mint,chlor Hexidine + sodiumfluoride + zinc Chloride,0.2% + 0.05% + 0.09%,mouth-wash,ابن رشد,chlor Hexidine 0.2%+sodiumfluoride 0.05%+zinc Chloride 0.09%,mouth-wash,بيانات مكتملة
1037,Zonalic,betamethasone Dipropionate + salicylic Acid,0.05% + 2%,محلول,ابن رشد,betamethasone Dipropionate 0.05%+salicylic Acid 2%,solu,بيانات مكتملة
1038,Act3,dextromethorphan + paracetamol + pseudoephedrine,15mg + 325mg + 30mg,قرص مغلف,ابن زهر,dextromethorphan 15mg+paracetamol 325mg+pseudoephedrine 30mg / c-tab,coated-tab,بيانات مكتملة
1039,Adrecaine Dental,adrenaline + lidocaine 36mg / cart,0.0225mg + ,cart,ابن زهر,adrenaline 0.0225mg+lidocaine 36mg / cart,cart,بيانات مكتملة
1040,Amapride 2,glimepiride,2mg,قرص,ابن زهر,glimepiride 2mg / tab,tab,بيانات مكتملة
1041,Amapride 4,glimepiride,4mg,قرص,ابن زهر,glimepiride 4mg / tab,tab,بيانات مكتملة
1042,Ananase Fort,bromelain,100.000i.u.,قرص مغلف,ابن زهر,bromelain 100.000i.u. / c-tab,coated-tab,بيانات مكتملة
1043,Anti Flu,caffeine + codeine + diphenhydramine + paracetamol + phenylephrine 10mg) + (ascorbic Acid 300mg),30mg + 10mg + 15mg + 500mg +  + ,قرص مغلف,ابن زهر,caffeine 30mg+codeine 10mg+diphenhydramine 15mg+paracetamol 500mg+phenylephrine 10mg)+(ascorbic Acid 300mg),coated-tab,بيانات مكتملة
1044,Apixazor 2.5,apixaban,2.5mg,قرص مغلف,ابن زهر,apixaban 2.5mg / c-tab,coated-tab,بيانات مكتملة
1045,Apixazor 5,apixaban,5mg,قرص مغلف,ابن زهر,apixaban 5mg / c-tab,coated-tab,بيانات مكتملة
1046,Atorvast 10,atorvastatin,10mg,قرص,ابن زهر,atorvastatin 10mg / tab,tab,بيانات مكتملة
1047,Atorvast 20,atorvastatin,20mg,قرص,ابن زهر,atorvastatin 20mg / tab,tab,بيانات مكتملة
1048,Atorvast 40,atorvastatin,40mg,قرص,ابن زهر,atorvastatin 40mg / tab,tab,بيانات مكتملة
1049,Atracurium 25,atracurium,25mg,أمبولة,ابن زهر,atracurium 25mg / amp,amp,بيانات مكتملة
1050,Atropine 0.4,atropine,0.4mg,أمبولة,ابن زهر,atropine 0.4mg / amp,amp,بيانات مكتملة
1051,Augmatex 1000,amoxicillin + clavulanic Acid,875mg + 125mg,قرص مغلف,ابن زهر,amoxicillin 875mg+clavulanic Acid 125mg / c-tab,coated-tab,بيانات مكتملة
1052,Augmatex 156,amoxicillin + clavulanic Acid,125mg + 31.25mg,dry-syrup,ابن زهر,amoxicillin 125mg+clavulanic Acid 31.25mg / 5ml,dry-syrup,بيانات مكتملة
1053,Augmatex 228,amoxicillin + clavulanic Acid 28.5mg / chew-tab,200mg + ,قرص للمضغ,ابن زهر,amoxicillin 200mg+clavulanic Acid 28.5mg / chew-tab,chew-tab,بيانات مكتملة
1054,Augmatex 312,amoxicillin + clavulanic Acid,250mg + 62.5mg,dry-syrup,ابن زهر,amoxicillin 250mg+clavulanic Acid 62.5mg / 5ml,dry-syrup,بيانات مكتملة
1055,Augmatex 457,amoxicillin + clavulanic Acid 57mg / chew-tab,400mg + ,قرص للمضغ,ابن زهر,amoxicillin 400mg+clavulanic Acid 57mg / chew-tab,chew-tab,بيانات مكتملة
1056,Augmatex 625,amoxicillin + clavulanic Acid,500mg + 125mg,قرص مغلف,ابن زهر,amoxicillin 500mg+clavulanic Acid 125mg / c-tab,coated-tab,بيانات مكتملة
1057,Augmatex ES 600,amoxicillin + clavulanic Acid,600mg + 42.9mg,dry-syrup,ابن زهر,amoxicillin 600mg+clavulanic Acid 42.9mg / 5ml,dry-syrup,بيانات مكتملة
1058,Avengra 100,sildenafil,100mg,قرص,ابن زهر,sildenafil 100mg / tab,tab,بيانات مكتملة
1059,Avengra 50,sildenafil,50mg,قرص,ابن زهر,sildenafil 50mg / tab,tab,بيانات مكتملة
1060,Avocaine 30,mepivacaine 30mg / ml,,cart,ابن زهر,mepivacaine 30mg / ml,cart,بيانات مكتملة
1061,Avosept 0.25,dequalinium 0.250mg / loz,,مصاصة,ابن زهر,dequalinium 0.250mg / loz,loz,بيانات مكتملة
1062,Azocin 250,azithromycin,250mg,كبسولة,ابن زهر,azithromycin 250mg / cap,cap,بيانات مكتملة
1063,Azocin 500,azithromycin,500mg,قرص مغلف,ابن زهر,azithromycin 500mg / c-tab,coated-tab,بيانات مكتملة
1064,Azoflox 400,ofloxacin,400mg,قرص مغلف,ابن زهر,ofloxacin 400mg / c-tab,coated-tab,بيانات مكتملة
