معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
5501,Viskolol 5,pindolol,5mg,قرص,دومنا,pindolol 5mg / tab,tab,بيانات مكتملة
5502,Vita Panthenol,aloe Vera + dexpanthenol + honey Extract + jojba, +  +  + ,كريم,دومنا,aloe Vera +dexpanthenol +honey Extract +jojba,cream,بيانات مكتملة
5503,Wet Ophtal,dexpanthenol + poly Venyl Alcool,3% + 1.4%,قطرة عينية,دومنا,dexpanthenol 3%+poly Venyl Alcool 1.4%,eye-drops,بيانات مكتملة
5504,White Cream,isopropyl Myristate + jojoba Oil + liposom + panthenol + squalane + titanium Di Oxide + vit E / gr, +  +  +  +  +  + ,cream-beige,دومنا,isopropyl Myristate+jojoba Oil+liposom+panthenol+squalane+titanium Di Oxide+vit E / gr,cream-beige,بيانات مكتملة
5505,Zaditofin 0.025%,ketotifen,0.025%,قطرة عينية,دومنا,ketotifen 0.025%,eye-drops,بيانات مكتملة
5506,Zaditofin 1,ketotifen,1mg,شراب,دومنا,ketotifen 1mg / 5ml,syrup,بيانات مكتملة
5507,Zinc Erythro,erythromycin + zinc Acetate 12mg / ml,40mg + ,dry-susp + solv,دومنا,erythromycin 40mg+zinc Acetate 12mg / ml,dry-susp + solv,بيانات مكتملة
5508,Zolpidem 10,zolpidem,10mg,قرص مغلف,دومنا,zolpidem 10mg / c-tab,coated-tab,بيانات مكتملة
5509,Zolpidem 5,zolpidem,5mg,قرص مغلف,دومنا,zolpidem 5mg / c-tab,coated-tab,بيانات مكتملة
5510,Aceonmond 2,perindopril Erbomine,2mg,قرص,دياموند,perindopril Erbomine 2mg / tab,tab,بيانات مكتملة
5511,Aceonmond 4,perindopril Erbomine,4mg,قرص,دياموند,perindopril Erbomine 4mg / tab,tab,بيانات مكتملة
5512,Aceonmond 8,perindopril Erbomine,8mg,قرص,دياموند,perindopril Erbomine 8mg / tab,tab,بيانات مكتملة
5513,Aceonmond Plus 2/0.625,indapamide + perindopril Erbomine,0.625mg + 2mg,قرص,دياموند,indapamide 0.625mg+perindopril Erbomine 2mg / tab,tab,بيانات مكتملة
5514,Aceonmond Plus 4/1.25,indapamide + perindopril Erbomine,1.25mg + 4mg,قرص,دياموند,indapamide 1.25mg+perindopril Erbomine 4mg / tab,tab,بيانات مكتملة
5515,Aceonmond Plus 8/2.5,indapamide + perindopril Erbomine,2.5mg + 8mg,قرص,دياموند,indapamide 2.5mg+perindopril Erbomine 8mg / tab,tab,بيانات مكتملة
5516,Alequid 120,fexofenadine,120mg,قرص مغلف,دياموند,fexofenadine 120mg / c-tab,coated-tab,بيانات مكتملة
5517,Alequid 180,fexofenadine,180mg,قرص مغلف,دياموند,fexofenadine 180mg / c-tab,coated-tab,بيانات مكتملة
5518,Alequid 30,fexofenadine,30mg,قرص مغلف,دياموند,fexofenadine 30mg / c-tab,coated-tab,بيانات مكتملة
5519,Alequid 60,fexofenadine,60mg,قرص مغلف,دياموند,fexofenadine 60mg / c-tab,coated-tab,بيانات مكتملة
5520,Amlor Mond 10,amlodipine,10mg,كبسولة,دياموند,amlodipine 10mg / cap,cap,بيانات مكتملة
5521,Amlor Mond 5,amlodipine,5mg,كبسولة,دياموند,amlodipine 5mg / cap,cap,بيانات مكتملة
