معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
9501,Lomin Fort,metronidazole + spiramycin,250mg + 1500000i.u.,قرص مغلف,مسعود,metronidazole 250mg+spiramycin 1500000i.u. / c-tab,coated-tab,بيانات مكتملة
9502,Lonax 0.5,lorazepam,0.5mg,قرص,مسعود,lorazepam 0.5mg / tab,tab,بيانات مكتملة
9503,Lonax 1,lorazepam,1mg,قرص,مسعود,lorazepam 1mg / tab,tab,بيانات مكتملة
9504,Lonax 2,lorazepam,2mg,قرص,مسعود,lorazepam 2mg / tab,tab,بيانات مكتملة
9505,Loramas 5,desloratadine,5mg,قرص مغلف,مسعود,desloratadine 5mg / c-tab,coated-tab,بيانات مكتملة
9506,Luperam 2,loperamide,2mg,كبسولة,مسعود,loperamide 2mg / cap,cap,بيانات مكتملة
9507,Lysocar 375,carbocisteine,375mg,كبسولة,مسعود,carbocisteine 375mg / cap,cap,بيانات مكتملة
9508,Maclor 125,cefaclor,125mg,dry-syrup,مسعود,cefaclor 125mg / 5ml,dry-syrup,بيانات مكتملة
9509,Maclor 250,cefaclor,250mg,dry-syrup,مسعود,cefaclor 250mg / 5ml,dry-syrup,بيانات مكتملة
9510,Metapral 100,metoprolol,100mg,قرص مغلف,مسعود,metoprolol 100mg / c-tab,coated-tab,بيانات مكتملة
9511,Metapral 50,metoprolol,50mg,قرص مغلف,مسعود,metoprolol 50mg / c-tab,coated-tab,بيانات مكتملة
9512,Metapral Plus 25/100,H.C.T.Z. ( Hydro Chlor Thia Zide ) + metoprolol,25mg + 100mg,قرص مغلف,مسعود,H.C.T.Z. ( Hydro Chlor Thia Zide ) 25mg+metoprolol 100mg / c-tab,coated-tab,بيانات مكتملة
9513,Metapral Plus 25/50,H.C.T.Z. ( Hydro Chlor Thia Zide ) + metoprolol,25mg + 50mg,قرص مغلف,مسعود,H.C.T.Z. ( Hydro Chlor Thia Zide ) 25mg+metoprolol 50mg / c-tab,coated-tab,بيانات مكتملة
9514,Micorin 100,nystatin,"100,000i.u.",معلق,مسعود,"nystatin 100,000i.u. / 5ml",susp,بيانات مكتملة
9515,Micorin 500,nystatin,"500,000i.u.",قرص مغلف,مسعود,"nystatin 500,000i.u. / c-tab",coated-tab,بيانات مكتملة
9516,Milor 10,amlodipine,10mg,كبسولة,مسعود,amlodipine 10mg / cap,cap,بيانات مكتملة
9517,Milor 5,amlodipine,5mg,كبسولة,مسعود,amlodipine 5mg / cap,cap,بيانات مكتملة
9518,Milovast 10/10,amlodipine + atorvastatin,10mg + 10mg,قرص مغلف,مسعود,amlodipine 10mg+atorvastatin 10mg / c-tab,coated-tab,بيانات مكتملة
9519,Milovast 10/20,amlodipine + atorvastatin,10mg + 20mg,قرص مغلف,مسعود,amlodipine 10mg+atorvastatin 20mg / c-tab,coated-tab,بيانات مكتملة
9520,Milovast 10/40,amlodipine + atorvastatin,10mg + 40mg,قرص مغلف,مسعود,amlodipine 10mg+atorvastatin 40mg / c-tab,coated-tab,بيانات مكتملة
9521,Milovast 10/80,amlodipine + atorvastatin,10mg + 80mg,قرص مغلف,مسعود,amlodipine 10mg+atorvastatin 80mg / c-tab,coated-tab,بيانات مكتملة
9522,Milovast 5/10,amlodipine + atorvastatin,5mg + 10mg,قرص مغلف,مسعود,amlodipine 5mg+atorvastatin 10mg / c-tab,coated-tab,بيانات مكتملة
