معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
2501,Bizocand H 10,bisoprolol + H.C.T.Z. ( Hydro Chlor Thia Zide ),10mg + 6.25mg,قرص,التراميديكا,bisoprolol 10mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 6.25mg / tab,tab,بيانات مكتملة
2502,Bizocand H 2.5,bisoprolol + H.C.T.Z. ( Hydro Chlor Thia Zide ),2.5mg + 6.25mg,قرص,التراميديكا,bisoprolol 2.5mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 6.25mg / tab,tab,بيانات مكتملة
2503,Bizocand H 5,bisoprolol + H.C.T.Z. ( Hydro Chlor Thia Zide ),5mg + 6.25mg,قرص,التراميديكا,bisoprolol 5mg+H.C.T.Z. ( Hydro Chlor Thia Zide ) 6.25mg / tab,tab,بيانات مكتملة
2504,Blanicard 20,olmesartan,20mg,قرص مغلف,التراميديكا,olmesartan 20mg / c-tab,coated-tab,بيانات مكتملة
2505,Blanicard 40,olmesartan,40mg,قرص مغلف,التراميديكا,olmesartan 40mg / c-tab,coated-tab,بيانات مكتملة
2506,Blanicard 5,olmesartan,5mg,قرص مغلف,التراميديكا,olmesartan 5mg / c-tab,coated-tab,بيانات مكتملة
2507,Bonstrol 50,mefenamic Acid,50mg,معلق,التراميديكا,mefenamic Acid 50mg / 5ml,susp,بيانات مكتملة
2508,Calcidal,calcium + vit D3,600mg + 400i.u.,قرص مغلف,التراميديكا,calcium 600mg+vit D3 400i.u. / c-tab,coated-tab,بيانات مكتملة
2509,Cametron 16,ondansetron,16mg,تحاميل,التراميديكا,ondansetron 16mg / supp,supp,بيانات مكتملة
2510,Cametron 8,ondansetron,8mg,أمبولة,التراميديكا,ondansetron 8mg / amp,amp,بيانات مكتملة
2511,Carbatec 100,carbamazepine 100mg / chew-tab,,قرص للمضغ,التراميديكا,carbamazepine 100mg / chew-tab,chew-tab,بيانات مكتملة
2512,Carbatec 200,carbamazepine,200mg,قرص,التراميديكا,carbamazepine 200mg / tab,tab,بيانات مكتملة
2513,Carbatec 400,carbamazepine,400mg,قرص مغلف,التراميديكا,carbamazepine 400mg / tab,coated-tab,بيانات مكتملة
2514,Carisol 350,carisoprodol,350mg,قرص,التراميديكا,carisoprodol 350mg / tab,tab,بيانات مكتملة
2515,Carisol Extra,carisoprodol + paracetamol,200mg + 500mg,قرص,التراميديكا,carisoprodol 200mg+paracetamol 500mg / tab,tab,بيانات مكتملة
2516,Cetacodeine,codeine + paracetamol,10mg + 500mg,قرص,التراميديكا,codeine 10mg+paracetamol 500mg / tab,tab,بيانات مكتملة
2517,Cetacodeine Extra,caffeine + codeine + paracetamol,30mg + 10mg + 500mg,قرص,التراميديكا,caffeine 30mg+codeine 10mg+paracetamol 500mg / tab,tab,بيانات مكتملة
2518,Ciproband 500,ciprofloxacin,500mg,قرص,التراميديكا,ciprofloxacin 500mg / c-tab,tab,بيانات مكتملة
2519,Ciproband 750,ciprofloxacin,750mg,قرص,التراميديكا,ciprofloxacin 750mg / c-tab,tab,بيانات مكتملة
2520,Cirosat Ultra 10,paroxetine,10mg,قرص مغلف,التراميديكا,paroxetine 10mg / c-tab,coated-tab,بيانات مكتملة
2521,Cirosat Ultra 20,paroxetine,20mg,قرص مغلف,التراميديكا,paroxetine 20mg / c-tab,coated-tab,بيانات مكتملة
2522,Cis Atracurium 10,cis Atracurium,10mg,أمبولة,التراميديكا,cis Atracurium 10mg / amp,amp,بيانات مكتملة
