معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
2001,Targocidine 400,teicoplanin,400mg,dry-vial + W.F.I,اسيا,teicoplanin 400mg / vial,dry-vial + W.F.I,بيانات مكتملة
2002,Tenorvas 100,atenolol,100mg,قرص مغلف,اسيا,atenolol 100mg / c-tab,coated-tab,بيانات مكتملة
2003,Tenorvas 50,atenolol,50mg,قرص مغلف,اسيا,atenolol 50mg / c-tab,coated-tab,بيانات مكتملة
2004,Testosterone 250,testesterone,250mg,أمبولة,اسيا,testesterone 250mg / amp,amp,بيانات مكتملة
2005,Thymogel Plus,ivy Extract + Thyme Fluid Extract, + ,شراب,اسيا,ivy Extract +Thyme Fluid Extract / 5ml,syrup,بيانات مكتملة
2006,Tiocand 300,tioconazole 300mg / ovule,,بويضة مهبلية,اسيا,tioconazole 300mg / ovule,ovule,بيانات مكتملة
2007,Toxil,dextromethorphan + oxomemazine + sodium Benzoate,10mg + 1.5mg + 60mg,شراب,اسيا,dextromethorphan 10mg+oxomemazine 1.5mg+sodium Benzoate 60mg / 5ml,syrup,بيانات مكتملة
2008,Toxil ad,guaifenesin + oxomemazine + paracetamol + sodium Benzoate,133.2mg + 6.6mg + 133.2mg + 133.2mg,تحاميل,اسيا,guaifenesin 133.2mg+oxomemazine 6.6mg+paracetamol 133.2mg+sodium Benzoate 133.2mg / supp,supp,بيانات مكتملة
2009,Toxil child,guaifenesin + oxomemazine + paracetamol + sodium Benzoate,66.6mg + 3.3mg + 66.6mg + 66.6mg,تحاميل,اسيا,guaifenesin 66.6mg+oxomemazine 3.3mg+paracetamol 66.6mg+sodium Benzoate 66.6mg / supp,supp,بيانات مكتملة
2010,Toxil Expectorant,guaifenesin + oxomemazine,33.3mg + 1.65mg,شراب,اسيا,guaifenesin 33.3mg+oxomemazine 1.65mg / 5ml,syrup,بيانات مكتملة
2011,Tranoxane 10,clorazepate Di Potassium,10mg,كبسولة,اسيا,clorazepate Di Potassium 10mg / cap,cap,بيانات مكتملة
2012,Tranoxane 5,clorazepate Di Potassium,5mg,كبسولة,اسيا,clorazepate Di Potassium 5mg / cap,cap,بيانات مكتملة
2013,Tricarbaz 150,ox Carbazepine,150mg,قرص مغلف,اسيا,ox Carbazepine 150mg / c-tab,coated-tab,بيانات مكتملة
2014,Tricarbaz 300,ox Carbazepine,300mg,قرص مغلف,اسيا,ox Carbazepine 300mg / c-tab,coated-tab,بيانات مكتملة
2015,Tricarbaz 600,ox Carbazepine,600mg,قرص مغلف,اسيا,ox Carbazepine 600mg / c-tab,coated-tab,بيانات مكتملة
2016,Trimipril 10,ramipril,10mg,كبسولة,اسيا,ramipril 10mg / cap,cap,بيانات مكتملة
2017,Trimipril 2.5,ramipril,2.5mg,كبسولة,اسيا,ramipril 2.5mg / cap,cap,بيانات مكتملة
2018,Trimipril 5,ramipril,5mg,كبسولة,اسيا,ramipril 5mg / cap,cap,بيانات مكتملة
