معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
8501,Torsemide 10,torsemide,10mg,قرص,فارماسير,torsemide 10mg / tab,tab,بيانات مكتملة
8502,Torsemide 20,torsemide,20mg,قرص,فارماسير,torsemide 20mg / tab,tab,بيانات مكتملة
8503,Torsemide 5,torsemide,5mg,قرص,فارماسير,torsemide 5mg / tab,tab,بيانات مكتملة
8504,Tremorstop 1,pergolide,1mg,قرص مغلف,فارماسير,pergolide 1mg / c-tab,coated-tab,بيانات مكتملة
8505,Tri Spasm 200,trimebutine,200mg,قرص,فارماسير,trimebutine 200mg / tab,tab,بيانات مكتملة
8506,Vitfol,folic Acid + vit B6 + vit B12,2.2mg + 25mg + 0.5mg,قرص مغلف,فارماسير,folic Acid 2.2mg+vit B6 25mg+vit B12 0.5mg / c-tab,coated-tab,بيانات مكتملة
8507,Xenasyr 250,naproxen,250mg,قرص,فارماسير,naproxen 250mg / tab,tab,بيانات مكتملة
8508,Xenasyr 500,naproxen,500mg,قرص,فارماسير,naproxen 500mg / tab,tab,بيانات مكتملة
8509,Zelatine 0.1%,azelastine,0.1%,بخاخ أنفي,فارماسير,azelastine 0.1%,nasal-spray,بيانات مكتملة
8510,Zeny 120,orlistat,120mg,كبسولة,فارماسير,orlistat 120mg / cap,cap,بيانات مكتملة
8511,Zilden 120,diltiazem,120mg,قرص,فارماسير,diltiazem 120mg / tab,tab,بيانات مكتملة
8512,Zilden 60,diltiazem,60mg,قرص,فارماسير,diltiazem 60mg / tab,tab,بيانات مكتملة
8513,Zilden 90,diltiazem,90mg,قرص,فارماسير,diltiazem 90mg / tab,tab,بيانات مكتملة
8514,Zolosyr 100,sertraline,100mg,قرص مغلف,فارماسير,sertraline 100mg / c-tab,coated-tab,بيانات مكتملة
8515,Zolosyr 25,sertraline,25mg,قرص مغلف,فارماسير,sertraline 25mg / c-tab,coated-tab,بيانات مكتملة
8516,Zolosyr 50,sertraline,50mg,قرص مغلف,فارماسير,sertraline 50mg / c-tab,coated-tab,بيانات مكتملة
8517,Zomitan 2.5,zolmitriptan,2.5mg,قرص مغلف,فارماسير,zolmitriptan 2.5mg / c-tab,coated-tab,بيانات مكتملة
8518,Zomitan 5,zolmitriptan,5mg,قرص مغلف,فارماسير,zolmitriptan 5mg / c-tab,coated-tab,بيانات مكتملة
8519,Acne Clear,erythromycin + isotretinoin,2% + 0.05%,جل,فيتا,erythromycin 2%+isotretinoin 0.05%,gel,بيانات مكتملة
8520,Acnevit 0.1%,adapalene,0.1%,جل,فيتا,adapalene 0.1%,gel,بيانات مكتملة
